Date,Time,Temperature,Humidity
2023-01-30,07:27:43,23.8,61.8
2023-01-30,07:27:49,23.8,61.8
2023-01-30,07:27:55,23.8,61.8
2023-01-30,07:28:00,23.8,61.8
2023-01-30,07:28:06,23.8,61.8
2023-01-30,07:28:11,23.8,61.8
2023-01-30,07:28:17,23.8,61.8
2023-01-30,07:28:22,23.8,61.8
2023-01-30,07:28:28,23.8,61.8
2023-01-30,07:28:33,23.8,61.8
2023-01-30,07:28:39,23.8,61.8
2023-01-30,07:28:44,23.8,61.8
2023-01-30,07:28:50,23.8,61.8
2023-01-30,07:28:55,23.8,61.8
2023-01-30,07:29:01,23.8,61.8
2023-01-30,07:29:07,23.8,61.8
2023-01-30,07:29:12,23.8,61.8
2023-01-30,07:29:18,23.8,61.8
2023-01-30,07:29:23,23.8,61.8
2023-01-30,07:29:29,23.8,61.8
2023-01-30,07:29:34,23.8,61.8
2023-01-30,07:29:40,23.8,61.8
2023-01-30,07:29:45,23.8,61.8
2023-01-30,07:29:51,23.8,61.8
2023-01-30,07:29:56,23.8,61.8
2023-01-30,07:30:02,23.8,61.8
2023-01-30,07:30:07,23.8,61.8
2023-01-30,07:30:13,23.8,61.8
2023-01-30,07:30:21,23.8,61.8
2023-01-30,07:30:27,23.8,61.8
2023-01-30,07:30:32,23.8,61.8
2023-01-30,07:30:38,23.8,61.8
2023-01-30,07:30:43,23.8,61.8
2023-01-30,07:30:49,23.8,61.8
2023-01-30,07:30:54,23.8,61.8
2023-01-30,07:31:00,23.8,61.8
2023-01-30,07:31:05,23.8,61.8
2023-01-30,07:31:11,23.8,61.8
2023-01-30,07:31:16,23.8,61.8
2023-01-30,07:31:22,23.8,61.8
2023-01-30,07:31:27,23.8,61.8
2023-01-30,07:31:33,23.8,61.8
2023-01-30,07:31:39,23.8,61.8
2023-01-30,07:31:44,23.8,61.8
2023-01-30,07:31:50,23.8,61.8
2023-01-30,07:31:55,23.8,61.8
2023-01-30,07:32:03,23.8,61.8
2023-01-30,07:32:09,23.8,61.9
2023-01-30,07:32:14,23.8,61.8
2023-01-30,07:32:20,23.8,61.8
2023-01-30,07:32:25,23.8,61.9
2023-01-30,07:32:31,23.8,61.8
2023-01-30,07:32:36,23.8,61.8
2023-01-30,07:32:42,23.8,61.8
2023-01-30,07:32:47,23.8,61.8
2023-01-30,07:32:53,23.8,61.8
2023-01-30,07:32:59,23.8,61.8
2023-01-30,07:33:04,23.8,61.8
2023-01-30,07:33:10,23.8,61.8
2023-01-30,07:33:15,23.8,61.8
2023-01-30,07:33:21,23.8,61.8
2023-01-30,07:33:26,23.8,61.8
2023-01-30,07:33:32,23.8,61.8
2023-01-30,07:33:37,23.8,61.8
2023-01-30,07:33:43,23.8,61.8
2023-01-30,07:33:48,23.8,61.8
2023-01-30,07:33:54,23.8,61.8
2023-01-30,07:33:59,23.8,61.8
2023-01-30,07:34:05,23.8,61.8
2023-01-30,07:34:11,23.8,61.8
2023-01-30,07:34:16,23.8,61.8
2023-01-30,07:34:22,23.8,61.8
2023-01-30,07:34:27,23.8,61.8
2023-01-30,07:34:33,23.8,61.8
2023-01-30,07:34:38,23.8,61.8
2023-01-30,07:34:44,23.8,61.8
2023-01-30,07:34:49,23.8,61.8
2023-01-30,07:34:55,23.8,61.8
2023-01-30,07:35:00,23.8,61.8
2023-01-30,07:35:06,23.8,61.8
2023-01-30,07:35:11,23.8,61.8
2023-01-30,07:35:17,23.8,61.8
2023-01-30,07:35:25,23.8,61.8
2023-01-30,07:35:31,23.8,61.9
2023-01-30,07:35:36,23.8,61.8
2023-01-30,07:35:44,23.8,61.8
2023-01-30,07:35:50,23.8,61.9
2023-01-30,07:35:55,23.8,61.8
2023-01-30,07:36:01,23.8,61.8
2023-01-30,07:36:06,23.8,61.8
2023-01-30,07:36:12,23.8,61.8
2023-01-30,07:36:17,23.8,61.8
2023-01-30,07:36:23,23.8,61.8
2023-01-30,07:36:28,23.8,61.8
2023-01-30,07:36:34,23.8,61.8
2023-01-30,07:36:39,23.8,61.8
2023-01-30,07:36:45,23.8,61.9
2023-01-30,07:36:51,23.8,61.8
2023-01-30,07:36:56,23.8,61.9
2023-01-30,07:37:02,23.8,61.9
2023-01-30,07:37:10,23.8,61.8
2023-01-30,07:37:15,23.8,61.9
2023-01-30,07:37:21,23.8,61.9
2023-01-30,07:37:26,23.8,61.9
2023-01-30,07:37:32,23.8,61.8
2023-01-30,07:37:37,23.8,61.9
2023-01-30,07:37:43,23.8,61.9
2023-01-30,07:37:48,23.8,61.9
2023-01-30,07:37:54,23.8,61.9
2023-01-30,07:37:59,23.8,61.9
2023-01-30,07:38:05,23.8,61.9
2023-01-30,07:38:10,23.8,61.9
2023-01-30,07:38:16,23.8,61.9
2023-01-30,07:38:22,23.8,61.9
2023-01-30,07:38:27,23.8,61.9
2023-01-30,07:38:33,23.8,61.9
2023-01-30,07:38:38,23.8,61.9
2023-01-30,07:38:44,23.8,61.9
2023-01-30,07:38:49,23.8,61.9
2023-01-30,07:38:55,23.8,61.9
2023-01-30,07:39:00,23.8,61.9
2023-01-30,07:39:06,23.8,61.9
2023-01-30,07:39:11,23.8,61.9
2023-01-30,07:39:17,23.8,61.9
